step,x,y,u
0,0,0,0.000000000000e+00
0,1,0,0.000000000000e+00
0,2,0,0.000000000000e+00
0,3,0,0.000000000000e+00
0,4,0,0.000000000000e+00
0,5,0,0.000000000000e+00
0,6,0,0.000000000000e+00
0,7,0,0.000000000000e+00
0,8,0,0.000000000000e+00
0,9,0,0.000000000000e+00
0,10,0,0.000000000000e+00
0,11,0,0.000000000000e+00
0,12,0,0.000000000000e+00
0,13,0,0.000000000000e+00
0,14,0,0.000000000000e+00
0,15,0,0.000000000000e+00
0,16,0,0.000000000000e+00
0,17,0,0.000000000000e+00
0,18,0,0.000000000000e+00
0,19,0,0.000000000000e+00
0,20,0,0.000000000000e+00
0,21,0,0.000000000000e+00
0,22,0,0.000000000000e+00
0,23,0,0.000000000000e+00
0,24,0,0.000000000000e+00
0,25,0,0.000000000000e+00
0,26,0,0.000000000000e+00
0,27,0,0.000000000000e+00
0,28,0,0.000000000000e+00
0,29,0,0.000000000000e+00
0,30,0,0.000000000000e+00
0,31,0,0.000000000000e+00
0,32,0,0.000000000000e+00
0,33,0,0.000000000000e+00
0,34,0,0.000000000000e+00
0,35,0,0.000000000000e+00
0,36,0,0.000000000000e+00
0,37,0,0.000000000000e+00
0,38,0,0.000000000000e+00
0,39,0,0.000000000000e+00
0,40,0,0.000000000000e+00
0,41,0,0.000000000000e+00
0,42,0,0.000000000000e+00
0,43,0,0.000000000000e+00
0,44,0,0.000000000000e+00
0,45,0,0.000000000000e+00
0,46,0,0.000000000000e+00
0,47,0,0.000000000000e+00
0,0,1,0.000000000000e+00
0,1,1,8.129819043472e-20
0,2,1,5.488614164838e-19
0,3,1,3.397389587441e-18
0,4,1,1.928096769261e-17
0,5,1,1.003259148529e-16
0,6,1,4.786281710000e-16
0,7,1,2.093554209768e-15
0,8,1,8.395972187429e-15
0,9,1,3.087156157296e-14
0,10,1,1.040751464737e-13
0,11,1,3.216890586683e-13
0,12,1,9.116463031482e-13
0,13,1,2.368739415585e-12
0,14,1,5.642986671547e-12
0,15,1,1.232541606341e-11
0,16,1,2.468283151241e-11
0,17,1,4.531992631940e-11
0,18,1,7.629292010173e-11
0,19,1,1.177552033212e-10
0,20,1,1.666390579457e-10
0,21,1,2.162092762963e-10
0,22,1,2.572010105718e-10
0,23,1,2.805251765874e-10
0,24,1,2.805251765874e-10
0,25,1,2.572010105718e-10
0,26,1,2.162092762963e-10
0,27,1,1.666390579457e-10
0,28,1,1.177552033212e-10
0,29,1,7.629292010173e-11
0,30,1,4.531992631940e-11
0,31,1,2.468283151241e-11
0,32,1,1.232541606341e-11
0,33,1,5.642986671547e-12
0,34,1,2.368739415585e-12
0,35,1,9.116463031482e-13
0,36,1,3.216890586683e-13
0,37,1,1.040751464737e-13
0,38,1,3.087156157296e-14
0,39,1,8.395972187429e-15
0,40,1,2.093554209768e-15
0,41,1,4.786281710000e-16
0,42,1,1.003259148529e-16
0,43,1,1.928096769261e-17
0,44,1,3.397389587441e-18
0,45,1,5.488614164838e-19
0,46,1,8.129819043472e-20
0,47,1,0.000000000000e+00
0,0,2,0.000000000000e+00
0,1,2,5.488614164838e-19
0,2,2,3.705480440509e-18
0,3,2,2.293650143182e-17
0,4,2,1.301699236153e-16
0,5,2,6.773216407616e-16
0,6,2,3.231320826446e-15
0,7,2,1.413403081809e-14
0,8,2,5.668299826737e-14
0,9,2,2.084204940282e-13
0,10,2,7.026335027739e-13
0,11,2,2.171791419513e-12
0,12,2,6.154718556496e-12
0,13,2,1.599186481233e-11
0,14,2,3.809700611026e-11
0,15,2,8.321151163568e-11
0,16,2,1.666390579457e-10
0,17,2,3.059644848379e-10
0,18,2,5.150697693369e-10
0,19,2,7.949904831533e-10
0,20,2,1.125015807812e-09
0,21,2,1.459674920320e-09
0,22,2,1.736418857894e-09
0,23,2,1.893885275402e-09
0,24,2,1.893885275402e-09
0,25,2,1.736418857894e-09
0,26,2,1.459674920320e-09
0,27,2,1.125015807812e-09
0,28,2,7.949904831533e-10
0,29,2,5.150697693369e-10
0,30,2,3.059644848379e-10
0,31,2,1.666390579457e-10
0,32,2,8.321151163568e-11
0,33,2,3.809700611026e-11
0,34,2,1.599186481233e-11
0,35,2,6.154718556496e-12
0,36,2,2.171791419513e-12
0,37,2,7.026335027739e-13
0,38,2,2.084204940282e-13
0,39,2,5.668299826737e-14
0,40,2,1.413403081809e-14
0,41,2,3.231320826446e-15
0,42,2,6.773216407616e-16
0,43,2,1.301699236153e-16
0,44,2,2.293650143182e-17
0,45,2,3.705480440509e-18
0,46,2,5.488614164838e-19
0,47,2,0.000000000000e+00
0,0,3,0.000000000000e+00
0,1,3,3.397389587441e-18
0,2,3,2.293650143182e-17
0,3,3,1.419743286675e-16
0,4,3,8.057369853424e-16
0,5,3,4.192543728823e-15
0,6,3,2.000150748394e-14
0,7,3,8.748803921682e-14
0,8,3,3.508612963399e-13
0,9,3,1.290099094152e-12
0,10,3,4.349221268647e-12
0,11,3,1.344314126144e-11
0,12,3,3.809700611026e-11
0,13,3,9.898781981294e-11
0,14,3,2.358161240425e-10
0,15,3,5.150697693369e-10
0,16,3,1.031476768676e-09
0,17,3,1.893885275402e-09
0,18,3,3.188223144489e-09
0,19,3,4.920900446751e-09
0,20,3,6.963719577255e-09
0,21,3,9.035221326199e-09
0,22,3,1.074823474574e-08
0,23,3,1.172293391596e-08
0,24,3,1.172293391596e-08
0,25,3,1.074823474574e-08
0,26,3,9.035221326199e-09
0,27,3,6.963719577255e-09
0,28,3,4.920900446751e-09
0,29,3,3.188223144489e-09
0,30,3,1.893885275402e-09
0,31,3,1.031476768676e-09
0,32,3,5.150697693369e-10
0,33,3,2.358161240425e-10
0,34,3,9.898781981294e-11
0,35,3,3.809700611026e-11
0,36,3,1.344314126144e-11
0,37,3,4.349221268647e-12
0,38,3,1.290099094152e-12
0,39,3,3.508612963399e-13
0,40,3,8.748803921682e-14
0,41,3,2.000150748394e-14
0,42,3,4.192543728823e-15
0,43,3,8.057369853424e-16
0,44,3,1.419743286675e-16
0,45,3,2.293650143182e-17
0,46,3,3.397389587441e-18
0,47,3,0.000000000000e+00
0,0,4,0.000000000000e+00
0,1,4,1.928096769261e-17
0,2,4,1.301699236153e-16
