T,xi,C_R1,C_R2,C_R3,C_R4,C_R5,C_R6,C_R7,C_R8,C_R9,C_R10,C_R11,C_R12,C_R13,C_R14,C_R15,C_R16
1.50000000,0.00000000,0.0023681005,0.0002131526,-0.0000082016,-0.0000667953,-0.0000147120,0.0000178401,0.0000308609,-0.0000537745,-0.0000342433,-0.0000147120,0.0000308609,-0.0000407537,-0.0000212224,0.0000373713,-0.0000342433,0.0000894547
1.55000000,0.49780229,0.0032949702,0.0004564285,0.0000592931,-0.0000188319,-0.0000383631,-0.0000253423,-0.0000578944,-0.0000904465,-0.0000904465,-0.0000513840,-0.0000709152,-0.0000709152,-0.0000644048,-0.0000383631,-0.0000644048,-0.0000644048
1.60000000,0.36927553,0.0045057042,0.0005278397,0.0000200272,0.0000265376,-0.0000841395,-0.0001166916,-0.0001427333,-0.0001166916,-0.0001427333,-0.0000320562,-0.0000060145,-0.0000450770,-0.0000320562,-0.0000190353,-0.0000646083,-0.0001427333
1.65000000,0.00000000,0.0055646388,0.0006557846,-0.0000278091,-0.0000538508,-0.0001059341,-0.0000929133,-0.0000798925,-0.0000212987,-0.0000603612,-0.0001059341,-0.0000603612,-0.0001384862,-0.0000929133,-0.0000668716,-0.0000408300,-0.0000668716
1.70000000,0.25511008,0.0077178828,0.0010251745,0.0000030390,-0.0000034714,-0.0001401901,0.0000421015,-0.0000490443,-0.0001271693,-0.0001076380,-0.0001987839,-0.0002248255,-0.0001011276,-0.0001792526,-0.0001076380,-0.0001467005,-0.0003094610
1.75000000,0.86300520,0.0117396927,0.0024493281,0.0004896927,0.0002227656,0.0001185989,-0.0000897344,-0.0001743698,-0.0002069219,-0.0002069219,-0.0001743698,-0.0002980677,-0.0002134323,-0.0002134323,-0.0002850469,-0.0001743698,-0.0001743698
1.80000000,0.64940377,0.0129494985,0.0024221547,0.0005666860,0.0001239777,0.0001825714,-0.0001364390,-0.0000192515,-0.0000778453,-0.0000518036,-0.0000192515,-0.0002275848,-0.0001299286,-0.0001038869,-0.0003317515,-0.0001234182,-0.0003057098
1.85000000,0.41329446,0.0184601593,0.0041046906,0.0008950551,0.0000096385,-0.0000880178,-0.0001921844,-0.0003158824,-0.0003289032,-0.0000164032,-0.0002247365,-0.0004330699,-0.0004460907,-0.0002963511,-0.0002833303,-0.0001596324,-0.0002377574
1.90000000,0.66792812,0.0220931498,0.0050618998,0.0012793477,0.0002376811,-0.0004394023,-0.0001008606,-0.0003091939,-0.0003547668,-0.0004979960,-0.0003742981,-0.0001203918,-0.0004198710,-0.0002180481,-0.0002896627,-0.0004524231,-0.0002961731
1.95000000,0.79656178,0.0297819138,0.0080045700,0.0021777471,0.0006998825,-0.0001920446,-0.0004394404,-0.0004589717,-0.0003417842,-0.0001790237,-0.0002441279,-0.0000488154,-0.0002115758,-0.0002571487,-0.0002180862,-0.0002897008,-0.0003808467
2.00000000,0.97511702,0.0406933721,0.0126399867,0.0047298304,0.0018652471,0.0006282679,0.0000813929,0.0000879033,-0.0006282425,-0.0007844925,-0.0006673050,-0.0006022008,-0.0005956904,-0.0004589717,-0.0004394404,-0.0006803258,-0.0008561071
2.05000000,1.18152863,0.0577142970,0.0211843491,0.0090554428,0.0044200261,0.0018353907,0.0003445053,-0.0007166926,-0.0014263280,-0.0010877864,-0.0010812759,-0.0014067968,-0.0011203384,-0.0011919530,-0.0014784114,-0.0018299739,-0.0018039322
2.10000000,1.15873014,0.0718334707,0.0272761790,0.0117748769,0.0053295644,0.0021720123,0.0005118561,-0.0005753835,-0.0013045502,-0.0012329356,-0.0012068939,-0.0015454356,-0.0019555918,-0.0018058523,-0.0015910085,-0.0007706960,-0.0009399668
2.15000000,1.22982771,0.1023591868,0.0441625722,0.0213956451,0.0100479889,0.0036808014,0.0002042389,-0.0015535736,-0.0025561778,-0.0035848236,-0.0035978444,-0.0033699799,-0.0030835215,-0.0031681569,-0.0027254486,-0.0024780528,-0.0018400319
2.20000000,1.36532905,0.1180110677,0.0519628906,0.0254850260,0.0131998698,0.0060123698,0.0024381510,0.0000618490,-0.0004654948,-0.0013444010,-0.0023209635,-0.0028222656,-0.0032128906,-0.0032259115,-0.0027636719,-0.0023014323,-0.0028808594
2.25000000,1.88572006,0.1899779638,0.1010456721,0.0606159846,0.0372240575,0.0220808283,0.0124844742,0.0062019221,0.0011693700,-0.0024504217,-0.0050415675,-0.0070597967,-0.0079517237,-0.0087980779,-0.0094360987,-0.0097030258,-0.0094035467
2.30000000,2.52844618,0.3055793889,0.1885025660,0.1271809514,0.0897200139,0.0613085556,0.0410286077,0.0255533473,0.0136067327,0.0051822535,-0.0011068090,-0.0060677465,-0.0110807673,-0.0148242569,-0.0163086319,-0.0172396215,-0.0170182673
2.35000000,2.98010162,0.4483057149,0.2975830587,0.2132666524,0.1568929545,0.1153239441,0.0836637878,0.0577848816,0.0351351420,0.0162354024,0.0020687358,-0.0103401184,-0.0194481913,-0.0259260559,-0.0311994934,-0.0345263163,-0.0345263163
2.40000000,2.66980790,0.4543865585,0.2919126002,0.2003110377,0.1415610377,0.1002849960,0.0699920273,0.0456300481,0.0274334335,0.0119060898,-0.0021564102,-0.0120001602,-0.0195262019,-0.0248061498,-0.0272084936,-0.0287254206,-0.0289467748
2.45000000,2.58825021,0.4907322057,0.3115590286,0.2116371536,0.1487855911,0.1028871536,0.0693650182,0.0443324661,0.0247621536,0.0106280390,-0.0015789922,-0.0117873255,-0.0191310755,-0.0237404505,-0.0283953985,-0.0318980026,-0.0337144089
2.50000000,2.41239848,0.4973710887,0.3056979116,0.2024296824,0.1366614532,0.0936210887,0.0623124949,0.0370390574,0.0177812449,0.0030091095,-0.0071927134,-0.0166523488,-0.0246927134,-0.0305716197,-0.0350833384,-0.0377135468,-0.0384557343
2.55000000,2.21293457,0.4813375346,0.2854130554,0.1816825867,0.1193453471,0.0777177429,0.0487984721,0.0276526388,0.0108362325,0.0001982117,-0.0095869446,-0.0157132467,-0.0211103821,-0.0230309550,-0.0261429342,-0.0266898092,-0.0265986633
2.60000000,2.03002334,0.4820201492,0.2792336909,0.1716425451,0.1077232742,0.0661021805,0.0392011388,0.0203860346,0.0074042638,-0.0021334966,-0.0110983404,-0.0157012049,-0.0188652674,-0.0206751633,-0.0210137049,-0.0217689133,-0.0210332362
2.65000000,1.99551982,0.4715756353,0.2680209478,0.1632488124,0.1012826665,0.0626173019,0.0367123540,0.0182097499,0.0040886561,-0.0053319168,-0.0111978022,-0.0147394689,-0.0171092606,-0.0193228022,-0.0203905106,-0.0215363439,-0.0222459793
2.70000000,1.87661337,0.4609494400,0.2532801692,0.1500575129,0.0908322525,0.0536056900,0.0294520442,0.0132931900,0.0018869400,-0.0069346746,-0.0132953517,-0.0163552475,-0.0187641017,-0.0209255600,-0.0213031642,-0.0223773829,-0.0217654037
2.75000000,1.72984460,0.4464344788,0.2358615621,0.1355034892,0.0779253642,0.0431467183,0.0218576558,0.0074110413,-0.0025238546,-0.0083636983,-0.0112413025,-0.0127386983,-0.0127972921,-0.0146788025,-0.0154795837,-0.0189821879,-0.0179079692
2.80000000,1.53637094,0.4354219309,0.2206432851,0.1174987539,0.0620430247,0.0316979726,0.0118802643,-0.0019218191,-0.0103918711,-0.0134257253,-0.0157369232,-0.0156262461,-0.0153593191,-0.0131522878,-0.0130155691,-0.0123710378,-0.0139205170
