sweep,iteration,magnetization,magnetization_per_site,abs_magnetization_per_site,energy_per_site,acceptance_rate
0,0,18,0.0703125000,0.0703125000,0.0156250000,0.0000000000
1,256,10,0.0390625000,0.0390625000,-0.7343750000,0.5546875000
2,512,12,0.0468750000,0.0468750000,-0.8906250000,0.3789062500
3,768,18,0.0703125000,0.0703125000,-1.0000000000,0.3007812500
4,1024,12,0.0468750000,0.0468750000,-1.0625000000,0.3398437500
5,1280,14,0.0546875000,0.0546875000,-0.9531250000,0.3398437500
6,1536,16,0.0625000000,0.0625000000,-1.0000000000,0.3789062500
7,1792,-8,-0.0312500000,0.0312500000,-1.1406250000,0.3203125000
8,2048,-10,-0.0390625000,0.0390625000,-1.2031250000,0.2773437500
9,2304,2,0.0078125000,0.0078125000,-1.3281250000,0.2500000000
10,2560,24,0.0937500000,0.0937500000,-1.2500000000,0.2617187500
11,2816,12,0.0468750000,0.0468750000,-1.1718750000,0.2343750000
12,3072,2,0.0078125000,0.0078125000,-1.2187500000,0.2773437500
13,3328,-14,-0.0546875000,0.0546875000,-1.1562500000,0.2812500000
14,3584,-26,-0.1015625000,0.1015625000,-1.1250000000,0.2421875000
15,3840,-18,-0.0703125000,0.0703125000,-1.2031250000,0.3359375000
16,4096,-8,-0.0312500000,0.0312500000,-1.1406250000,0.2539062500
17,4352,-8,-0.0312500000,0.0312500000,-1.1875000000,0.2656250000
18,4608,-20,-0.0781250000,0.0781250000,-1.1875000000,0.2187500000
19,4864,-20,-0.0781250000,0.0781250000,-1.1093750000,0.3359375000
20,5120,-20,-0.0781250000,0.0781250000,-1.2500000000,0.2812500000
21,5376,-16,-0.0625000000,0.0625000000,-1.2343750000,0.2500000000
22,5632,2,0.0078125000,0.0078125000,-1.2656250000,0.2773437500
23,5888,16,0.0625000000,0.0625000000,-1.2968750000,0.2304687500
24,6144,32,0.1250000000,0.1250000000,-1.0937500000,0.2734375000
25,6400,18,0.0703125000,0.0703125000,-1.1406250000,0.2695312500
26,6656,0,0.0000000000,0.0000000000,-1.2812500000,0.2851562500
27,6912,-8,-0.0312500000,0.0312500000,-1.2031250000,0.2968750000
28,7168,-22,-0.0859375000,0.0859375000,-1.1718750000,0.2929687500
29,7424,10,0.0390625000,0.0390625000,-1.2500000000,0.3359375000
30,7680,10,0.0390625000,0.0390625000,-1.1250000000,0.2265625000
31,7936,-4,-0.0156250000,0.0156250000,-1.2343750000,0.2617187500
32,8192,24,0.0937500000,0.0937500000,-1.3125000000,0.2187500000
33,8448,28,0.1093750000,0.1093750000,-1.1875000000,0.2656250000
34,8704,34,0.1328125000,0.1328125000,-1.1718750000,0.2695312500
35,8960,26,0.1015625000,0.1015625000,-1.2968750000,0.2734375000
36,9216,36,0.1406250000,0.1406250000,-1.4062500000,0.1835937500
37,9472,54,0.2109375000,0.2109375000,-1.3281250000,0.2304687500
38,9728,70,0.2734375000,0.2734375000,-1.3906250000,0.1953125000
39,9984,62,0.2421875000,0.2421875000,-1.3593750000,0.1796875000
40,10240,72,0.2812500000,0.2812500000,-1.3593750000,0.1757812500
41,10496,60,0.2343750000,0.2343750000,-1.2031250000,0.2109375000
42,10752,48,0.1875000000,0.1875000000,-1.2656250000,0.1953125000
43,11008,38,0.1484375000,0.1484375000,-1.2031250000,0.1757812500
44,11264,30,0.1171875000,0.1171875000,-1.3125000000,0.2343750000
45,11520,2,0.0078125000,0.0078125000,-1.2812500000,0.2812500000
46,11776,4,0.0156250000,0.0156250000,-1.4062500000,0.2226562500
47,12032,2,0.0078125000,0.0078125000,-1.4531250000,0.1835937500
48,12288,-20,-0.0781250000,0.0781250000,-1.4218750000,0.1992187500
49,12544,-30,-0.1171875000,0.1171875000,-1.3906250000,0.1679687500
50,12800,-6,-0.0234375000,0.0234375000,-1.4062500000,0.2187500000
51,13056,-16,-0.0625000000,0.0625000000,-1.4531250000,0.1914062500
